Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
https://www.cuscoperu.com/es/tours/cusco/pagina=3	200	ok	text/html	72113			4	242	3	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:07.470	utf-8	
https://www.cuscoperu.com/es/tours/cusco/bicicleta-de-montana-chinchero-moray-y-maras	200	ok	text/html	78861	Tours en Bicicleta de Montaña en Chinchero, Moray y Maras		4	246	6	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.355	utf-8	La ruta de este tour en bicicleta, a pocas horas de Cusco, visitaremos las ruinas de Chinchero, las impresionantes terrazas de Moray  y las Salinas de Maras.
https://www.cuscoperu.com/imagenes/g_tour/rumbo-al-valle-sagrado.jpg	200	ok	image/jpeg	7515		20.02.2017  17:46:13	4		3	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.660	utf-8	
https://www.cuscoperu.com/es/tours/cusco/atv-tours-en-cusco	200	ok	text/html	72508	ATV Tours en Cusco | Agencia de viajes CuscoPeru.com		4	233	6	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.165	utf-8	En este tour montaremos las Atv's e iremos hacia las montañas, en donde tendremos una gran vista de la ciudad del cusco.
https://www.cuscoperu.com/en/hoteles/2-machu-picchu/en	200	ok	text/html		redir		4	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.928		
https://www.cuscoperu.com/en/tours/9-jungle-adventures/pt	404	not found			redir		8		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.510	iso-8859-1	
https://www.cuscoperu.com/es/tours/valle-sagrado/tour-en-moto-valle-sagrado/	200	ok	text/html	259	           <span itemprop="title">Tour en Moto Valle Sagrado </span>          		6	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:06.516	iso-8859-1	
https://www.cuscoperu.com/en/travel/cusco/mansions/cabrera-house	200	ok	text/html	86049	Cabrera House		3	394	3	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.986	utf-8	Cabrera House Cusco located in one of the most peaceful and welcoming city of Cusco, a block from the Main Square. Is an extraordinary historical monument that summarizes the history of urban architecture in the imperial city of cusco.
https://www.cuscoperu.com/images/articles/cusco/colonial_mansions/cabrera_house/Mapa-Casa-Cabrera.jpg	200	ok	image/jpeg	89634	Mapa Casa Cabrera	20.02.2017  17:46:31	5		2	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.150	utf-8	
https://www.cuscoperu.com/pt/alojamentos/cusco-cidade/aranwa-cusco-boutique-hotel/	200	ok	text/html	265	            <span itemprop="title">Aranwa Cusco Boutique Hotel</span>           		5	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.641	iso-8859-1	
https://www.cuscoperu.com/pt/passeios/expedicoes/pagina=1/	200	ok	text/html	241	          <span itemprop="title">Expedições em 4x4</span>         		5	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.092	iso-8859-1	
https://www.cuscoperu.com/images/articles/cusco/museums/popular_art_museum/Mapa-Museo-de-arte-popular-en.jpg	200	ok	image/jpeg	50557	map of popular art museum	20.02.2017  17:46:29	3		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:02.856	utf-8	
https://www.cuscoperu.com/es/hoteles/valle-sagrado/casa-andina-private-collection-valle-sagrado	200	ok	text/html	67193	Hotel Casa Andina Private Collection Valle Sagrado		4	244	5	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.318	utf-8	El hotel Casa Andina es un hermoso refugio de montaña, con vistas fabulosas hacia las montañas.
https://www.cuscoperu.com/en/hotels/sacred-valley/casa-andina-private-collection-valle-sagrado/	200	ok	text/html	278	            <span itemprop="title">Casa Andina Private Collection Valle Sagrado</span>           		4	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.436	iso-8859-1	
https://www.cuscoperu.com/imagenes/g_alojamiento/casa-andina-sacred-valley.jpg	200	ok	image/jpeg	48267		20.02.2017  17:46:10	4		3	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.004	utf-8	
https://www.cuscoperu.com/imagenes/g_alojamiento/external-casa-andina.jpg	200	ok	image/jpeg	17886		20.02.2017  17:46:09	4		3	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.710	utf-8	
https://www.cuscoperu.com/imagenes/g_alojamiento/suite-nuptial-casa-andina.jpg	200	ok	image/jpeg	12649		20.02.2017  17:46:10	4		3	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.342	utf-8	
