Nro	URL	Title	Anchor Text	Spam Score	DA	Date First Seen	Date Crawled
98	www.coolors.net/heviajado/blog/?p=825&akst_action=share-this		Tambomachay	58%	20	8/05/2018	9/08/2018
99	www.coolors.net/heviajado/blog/?p=825&akst_action=share-this		Sacsayhuaman	58%	20	8/05/2018	9/08/2018
100	www.coolors.net/heviajado/blog/?p=825&akst_action=share-this		Pucapucara	58%	20	8/05/2018	9/08/2018
101	www.coolors.net/heviajado/blog/?p=825&akst_action=share-this		Moray	58%	20	8/05/2018	9/08/2018
102	www.coolors.net/heviajado/blog/?p=825&akst_action=share-this		Chinchero	58%	20	8/05/2018	9/08/2018
103	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?show=slide		Ollataytambo	58%	20	26/05/2018	27/08/2018
104	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?show=slide		Pisac	58%	20	26/05/2018	27/08/2018
105	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?show=slide		Q‘enqo	58%	20	26/05/2018	27/08/2018
106	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?show=slide		Mapa del centro de Cusco\nWeb sobre turismo en Cusco	58%	20	26/05/2018	27/08/2018
107	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?show=slide		Tambomachay	58%	20	26/05/2018	27/08/2018
108	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?show=slide		Sacsayhuaman	58%	20	26/05/2018	27/08/2018
109	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?show=slide		Pucapucara	58%	20	26/05/2018	27/08/2018
110	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?show=slide		Moray	58%	20	26/05/2018	27/08/2018
111	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?show=slide		Chinchero	58%	20	26/05/2018	27/08/2018
112	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=4		Ollataytambo	58%	20	17/05/2018	16/08/2018
113	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=4		Pisac	58%	20	17/05/2018	16/08/2018
114	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=4		Q‘enqo	58%	20	17/05/2018	16/08/2018
115	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=4		Mapa del centro de Cusco\nWeb sobre turismo en Cusco	58%	20	17/05/2018	16/08/2018
116	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=4		Tambomachay	58%	20	17/05/2018	16/08/2018
117	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=4		Sacsayhuaman	58%	20	17/05/2018	16/08/2018
118	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=4		Pucapucara	58%	20	17/05/2018	16/08/2018
119	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=4		Moray	58%	20	17/05/2018	16/08/2018
120	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=4		Chinchero	58%	20	17/05/2018	16/08/2018
121	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=6		Ollataytambo	58%	20	17/05/2018	16/08/2018
122	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=6		Pisac	58%	20	17/05/2018	16/08/2018
123	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=6		Q‘enqo	58%	20	17/05/2018	16/08/2018
124	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=6		Mapa del centro de Cusco\nWeb sobre turismo en Cusco	58%	20	17/05/2018	16/08/2018
125	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=6		Tambomachay	58%	20	17/05/2018	16/08/2018
126	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=6		Sacsayhuaman	58%	20	17/05/2018	16/08/2018
127	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=6		Pucapucara	58%	20	17/05/2018	16/08/2018
128	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=6		Moray	58%	20	17/05/2018	16/08/2018
129	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=6		Chinchero	58%	20	17/05/2018	16/08/2018
130	www.hot-trends.net/results/Brazil/BR/Peru/selah/	Peru | Hot Trends Google Brazil	[no anchor text]	57%	24	15/11/2017	15/11/2017
131	www.hot-trends.net/results/Brazil/BR/Peru/	Peru | Hot Trends Google Brazil	[no anchor text]	57%	24	16/11/2017	16/11/2017
132	www.hot-trends.net/results/Brazil/BR/Peru/se/	Peru | Hot Trends Google Brazil	[no anchor text]	57%	24	18/11/2017	18/11/2017
133	www.hot-trends.net/results/Brazil/BR/Peru/stay-Night-Heaven-S-Feel-I.presage-Flower%E3%80%8D/	Peru | Hot Trends Google Brazil	[no anchor text]	57%	24	18/11/2017	18/11/2017
134	www.hot-trends.net/results/Brazil/BR/Peru/proxy/		[no anchor text]	57%	24	18/11/2017	25/06/2018
135	www.hot-trends.net/results/Spain/ES/Peru/suri/	Peru | Hot Trends Google Spain	[no anchor text]	57%	24	16/11/2017	16/11/2017
136	chanelo.co/maps-us-bank.html	Us Bank Map My Blog. Maptitude Map Most Popular Banks. US Bank Stadium A 360degree View From The Field. What You Need To Know To Get To US Bank Stadium KARE11com. Minnesota Vikings Stadium Map. Vikings Parking Your Guide To US Bank Stadium Parking. US Banks Prune More Branches SiteTech Systems. Chase Bank Locations Map My Blog. US Bank Stadium Parking Guide Tips Maps Deals SPG. US Bank Tower Los Angeles Properties Hines. Stadium Maps US Bank Stadium. Citigroup HSBC Jettison Customers As Era Of Global Empire	.	57%	17	19/12/2017	28/01/2018
137	www.iheartpreston.co.uk/quoideneuf/archives/2005/12/cusco_y_el_vall.html	quoi de neuf?	pisaq	57%	9	26/03/2018	26/06/2018
138	www.iheartpreston.co.uk/quoideneuf/archives/2005/12/cusco_y_el_vall.html	quoi de neuf?	boleto turístico del cusco	57%	9	26/03/2018	26/06/2018
139	rdanet.info/imgs/m/machu-picchu.html	Machu Picchu	[no anchor text]	56%	25	17/08/2018	17/08/2018
140	cuzco2015lu.blogspot.com/2015/09/	BITÁCORA CUZCO 2015: septiembre 2015	http://www.cuscoperu.com/es/viajes/cusco/museos/historico-regional	56%	2	11/12/2017	2/09/2018
141	cuzco2015lu.blogspot.com/2015/09/referencias_27.html	BITÁCORA CUZCO 2015: REFERENCIAS	http://www.cuscoperu.com/es/viajes/cusco/museos/historico-regional	56%	2	22/05/2018	4/09/2018
142	cuzco2015lu.blogspot.com/2015/	BITÁCORA CUZCO 2015: 2015	http://www.cuscoperu.com/es/viajes/cusco/museos/historico-regional	56%	2	22/05/2018	6/09/2018
143	cuzco2015lu.blogspot.com/	BITÁCORA CUZCO 2015	http://www.cuscoperu.com/es/viajes/cusco/museos/historico-regional	56%	2	12/12/2017	5/09/2018
144	www.factbites.com/topics/Ollantaytambo	Ollantaytambo - Factbites	cusco peru · · · cusco peru ollantaytambo sacred valley of the inkas cuzco peru tours	55%	54	2/07/2017	8/04/2018
145	www.factbites.com/topics/Ollantaytambo	Ollantaytambo - Factbites	Cusco Peru :·:·.:· Cusco Peru Ollantaytambo, Sacred Valley of the Inkas, Cuzco Peru Tours, ...	55%	54	12/04/2017	8/04/2018
146	www.factbites.com/topics/Urubamba-Valley	Urubamba valley - Factbites	tours peru · · · cusco peru peru information tour cuzco cusco hotels travel to urubamba	55%	54	26/02/2018	15/04/2018
147	www.factbites.com/topics/Urubamba-Valley	Urubamba valley - Factbites	Tours Peru :·:·.:· Cusco Peru, Peru Information, Tour Cuzco, Cusco Hotels, Travel to Urubamba	55%	54	8/01/2018	15/04/2018
148	www.factbites.com/topics/Fiesta-patronal	Fiesta patronal - Factbites	Cusco Peru :·:·.:· Cusco Festivities, Cuzco Travel, Holy Days in Cusco, Tours Peru, Tours Machu ...	55%	54	26/07/2017	13/05/2018
149	www.factbites.com/topics/Fiesta-patronal	Fiesta patronal - Factbites	cusco peru · · · cusco festivities cuzco travel holy days in cusco tours peru tours machu	55%	54	27/03/2018	13/05/2018
150	www.factbites.com/topics/Vilcabamba	Vilcabamba - Factbites	Cusco Travel :·:·.:· Cusco Peru, Machu Picchu Inca Trail, Cusco Inka Trail, Vilcabamba Valley	55%	54	14/04/2017	13/04/2018
151	www.factbites.com/topics/Vilcabamba	Vilcabamba - Factbites	cusco travel · · · cusco peru machu picchu inca trail cusco inka trail vilcabamba valley	55%	54	21/06/2017	13/04/2018
152	www.factbites.com/topics/Cusco	Cusco - Factbites	Cusco Peru Information .·. Machu Picchu .· Cusco tours - CUZCO	55%	54	8/04/2017	8/04/2018
153	www.factbites.com/topics/Urubamba-River	Urubamba river - Factbites	cusco peru · · · travel to urubamba tours peru urubamba river sacred valley urubamba tours	55%	54	26/02/2018	11/05/2018
154	www.factbites.com/topics/Urubamba-River	Urubamba river - Factbites	Cusco Peru :·:·.:· Travel to Urubamba, Tours Peru, Urubamba River, Sacred Valley Urubamba, Tours ...	55%	54	8/02/2018	11/05/2018
155	www.factbites.com/topics/Cusco-Province	Cusco Province - Factbites	CuscoPeru.com :·:·.:· Cusco - Peru - Cuzco - Machupicchu	55%	54	18/12/2017	26/12/2017
156	www.factbites.com/topics/cusco	Cusco - Factbites	Cusco Peru Information .·. Machu Picchu .· Cusco tours - CUZCO	55%	54	16/04/2017	23/04/2018
157	www.t-g.co/the_worlds_most_visited_web_pages_154.html	The Globe - The world's most visited web pages	154495. cuscoperu.com	55%	35	28/06/2018	28/06/2018
158	t-g.co/the_worlds_most_visited_web_pages_154/	The Globe - The world's most visited web pages	154495. cuscoperu.com	55%	35	6/03/2018	8/09/2018
159	t-g.co/the_worlds_most_visited_web_pages_154.html	The Globe - The world's most visited web pages	154495. cuscoperu.com	55%	35	5/03/2018	3/09/2018
160	www.groundswellsearch.com/machu-picchu-map.html	Machu Picchu Map\t\treal time lightning strike map\r strategic group map\r \t	[no anchor text]	55%	35	21/12/2017	26/12/2017
161	www.groundswellsearch.com/inca-trail-map.html	Inca Trail Map\t\tminecraft pe maps download\r \t	[no anchor text]	55%	35	27/12/2017	27/12/2017
162	queopinan.com/ver-links.asp?idprovincia=34	::: Alojar.com.ar -  el sitio para encontrar lugar - Links :::	http://www.cuscoperu.com/espanol	55%	14	21/10/2017	9/07/2018
163	queopinan.com/ver-links.asp?idprovincia=34	::: Alojar.com.ar -  el sitio para encontrar lugar - Links :::	http://www.cuscoperu.com/espanol	55%	14	21/10/2017	9/07/2018
164	www.queopinan.com/ver-links.asp?idprovincia=34	::: Alojar.com.ar -  el sitio para encontrar lugar - Links :::	http://www.cuscoperu.com/espanol	55%	14	24/10/2017	20/07/2018
165	www.queopinan.com/ver-links.asp?idprovincia=34	::: Alojar.com.ar -  el sitio para encontrar lugar - Links :::	http://www.cuscoperu.com/espanol	55%	14	24/10/2017	20/07/2018
166	33ddesktop3d.tk/files/images/chamber-breakfast-in-the-valley.html	HD wallpapers chamber breakfast in the valley 33ddesktop3d.tk	Get free high quality HD wallpapers chamber breakfast in the valley	55%	4	18/03/2018	18/03/2018
167	alumn.us/map-of-us-bank-locations.html	Map of us bank locations	.	54%	23	6/02/2018	6/02/2018
168	www.phy.org/Science/Social_Sciences/Archaeology/Regional/South_America/Peru	Phy.org - Science: Social Sciences: Archaeology: Regional: South America: Peru	Save Ollanta	54%	20	5/09/2017	4/08/2018
